s,a,r,sp
01245678,2,-1000000,01245678
01245678,2,-1000000,01245678
01245678,2,-1000000,01245678
01245678,3,0.0,012345678
012345678,6,-1000000,012345678
,6,2475132.7582064047,6
6,2,2928800.941895079,26
26,5,0.0,256
256,6,-1000000,256
256,7,2899957.6613291055,2567
2567,3,-2948376.351291594,23567
23567,7,-1000000,23567
23567,2,-1000000,23567
23567,1,515565.738676562,123567
123567,2,-1000000,123567
123567,0,2340106.915253658,0123567
0123567,4,0.0,01234567
01234567,7,-1000000,01234567
01234567,4,-1000000,01234567
01234567,2,-1000000,01234567
01234567,7,-1000000,01234567
01234567,8,819.921125497669,012345678
012345678,1,-1000000,012345678
,7,2899957.661329106,7
